Lista com : 1800
-8 5/6 = -53/6
-8 5/7 = -61/7
-8 5/8 = -69/8
-8 5/9 = -77/9
-8 6/4 = -19/2
-8 6/5 = -46/5
-8 6/7 = -62/7
-8 6/8 = -35/4
-8 6/9 = -26/3
-8 7/2 = -23/2
-8 7/3 = -31/3
-8 7/4 = -39/4
-8 7/5 = -47/5
-8 7/6 = -55/6
-8 7/8 = -71/8
-8 7/9 = -79/9
-8 8/3 = -32/3
-8 8/5 = -48/5
-8 8/6 = -28/3
-8 8/7 = -64/7
-8 8/9 = -80/9
-8 9/2 = -25/2
-8 9/4 = -41/4
-8 9/5 = -49/5
-8 9/6 = -19/2
-8 9/7 = -65/7
-8 9/8 = -73/8
-9 1/2 = -19/2
-9 1/3 = -28/3
-9 1/4 = -37/4
-9 1/5 = -46/5
-9 1/6 = -55/6
-9 1/7 = -64/7
-9 1/8 = -73/8
-9 1/9 = -82/9
-9 2/3 = -29/3
-9 2/4 = -19/2
-9 2/5 = -47/5
-9 2/6 = -28/3
-9 2/7 = -65/7
-9 2/8 = -37/4
-9 2/9 = -83/9
-9 3/2 = -21/2
-9 3/4 = -39/4
-9 3/5 = -48/5
-9 3/6 = -19/2
-9 3/7 = -66/7
-9 3/8 = -75/8
-9 3/9 = -28/3
-9 4/3 = -31/3
-9 4/5 = -49/5
-9 4/6 = -29/3
-9 4/7 = -67/7
-9 4/8 = -19/2
-9 4/9 = -85/9
-9 5/2 = -23/2
-9 5/3 = -32/3
-9 5/4 = -41/4
-9 5/6 = -59/6
-9 5/7 = -68/7
-9 5/8 = -77/8
-9 5/9 = -86/9
-9 6/4 = -21/2
-9 6/5 = -51/5
-9 6/7 = -69/7
-9 6/8 = -39/4
-9 6/9 = -29/3
-9 7/2 = -25/2
-9 7/3 = -34/3
-9 7/4 = -43/4
-9 7/5 = -52/5
-9 7/6 = -61/6
-9 7/8 = -79/8
-9 7/9 = -88/9
-9 8/3 = -35/3
-9 8/5 = -53/5
-9 8/6 = -31/3
-9 8/7 = -71/7
-9 8/9 = -89/9
-9 9/2 = -27/2
-9 9/4 = -45/4
-9 9/5 = -54/5
-9 9/6 = -21/2
-9 9/7 = -72/7
-9 9/8 = -81/8
